title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,M,N,answer,image
Let's chat,radio,沟通,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,A,
,radio,手机,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,B,
,radio,电脑,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,C,
,radio,网络摄像头,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,D,
,radio,发送,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,E,
,radio,回复,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,F,
,radio,信息,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,G,
,radio,友谊,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,H,
,radio,聊天,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,I,
,radio,在线的,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,J,
,radio,社交网站,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,K,
,radio,上传,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,L,
,radio,下载,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,M,
,radio,附上/附件,communicate,mobile phone,computer,webcam,send,reply,message,friendship,chat,online,social networking site,upload,download,attach,N,
