title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Being a teen,radio,青少年,teenager,education,school,teacher,student,homework,music,band,dance,opinion,A,
,radio,教育,teenager,education,school,teacher,student,homework,music,band,dance,opinion,B,
,radio,学校,teenager,education,school,teacher,student,homework,music,band,dance,opinion,C,
,radio,老师,teenager,education,school,teacher,student,homework,music,band,dance,opinion,D,
,radio,学生,teenager,education,school,teacher,student,homework,music,band,dance,opinion,E,
,radio,功课,teenager,education,school,teacher,student,homework,music,band,dance,opinion,F,
,radio,音乐,teenager,education,school,teacher,student,homework,music,band,dance,opinion,G,
,radio,乐队,teenager,education,school,teacher,student,homework,music,band,dance,opinion,H,
,radio,跳舞,teenager,education,school,teacher,student,homework,music,band,dance,opinion,I,
,radio,意见,teenager,education,school,teacher,student,homework,music,band,dance,opinion,J,
