title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Globetrotting,radio,自然灾害,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,A,
,radio,生存,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,B,
,radio,难以置信的,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,C,
,radio,生物,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,D,
,radio,偏远的,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,E,
,radio,探索,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,F,
,radio,部落,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,G,
,radio,潮湿的,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,H,
,radio,指南针,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,I,
,radio,尊重文化,natural disaster,survive,incredible,creature,remote,explore,tribe,humid,compass,respect cultures,J,
