title,type,question,A,B,C,D,E,F,G,H,I,J,K,answer,image
Mother Nature,radio,生态系统,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,A,
,radio,生物多样性,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,B,
,radio,全球暖化,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,C,
,radio,二氧化碳,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,D,
,radio,温室效应,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,E,
,radio,可再生能源,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,F,
,radio,可持续的,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,G,
,radio,森林砍伐,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,H,
,radio,后果,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,I,
,radio,意识,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,J,
,radio,采取行动,ecosystem,biodiversity,global warming,carbon dioxide,greenhouse effect,renewable energy,sustainable,deforestation,consequence,awareness,take action,K,
